"site","date","fragmentation_level","centroid","ID","w","l","h","c","SA_cm","SA_ratio","ratio_c:l","Acropora","Astreopora","Montipora","Leptoseris","Pavona","Danafungia","Herpolitha","Lithophyllon","Astrea","Cyphastrea","Leptastrea","Acanthastrea","Lobophyllia","Pocillopora","Porites","Psammocora","Millepora","Plesiastrea"
"MRB_west","4/10/24","AD","6001","A68",135,139,106,435,40686.92136,93.53315254,0,2,0,50,0,6,0,0,0,1,0,0,0,0,8,28,8,0,0
"MRB_west","4/10/24","AD","6001","A69",252,295,132,820,114683.8775,139.8583872,0,7,0,64,3,45,0,0,0,13,0,4,2,0,36,86,15,0,0
"MRB_west","4/10/24","AD","6001","A70",92,109,65,316,19045.42469,60.2703313,0,5,0,19,0,4,0,0,0,1,0,0,0,0,7,11,8,0,0
"MRB_west","4/10/24","AD","6001","A71",40,75,32,155,5551.099434,35.81354473,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"MRB_west","4/10/24","AD","6001","A72",180,219,82,600,55132.93054,91.88821757,0,5,1,44,0,16,0,0,0,2,0,0,0,0,21,15,10,0,0
"MRB_west","4/10/24","LM","6001","L54",45,50,35,120,4705.083671,39.20903059,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MRB_west","4/10/24","LM","6001","L55",83,92,63,230,15678.2513,68.16631,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0
"MRB_west","4/10/24","LM","6001","L56",210,320,150,920,119774.9535,130.1901669,0,5,0,9,0,4,0,0,0,6,0,2,0,0,26,11,7,0,0
"MRB_west","4/10/24","LM","6001","L57",85,105,60,310,16715.14952,53.91983715,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0
"MRB_west","4/10/24","LM","6001","L58",155,160,80,480,39377.33126,82.03610679,0,1,0,37,0,5,0,0,0,2,0,1,0,0,14,14,6,0,0
"hilton","4/11/24","AD","5002","A73",123,290,48,923,41345.49544,44.79468629,0,3,0,34,0,7,0,0,0,1,0,1,0,0,5,64,4,0,0
"hilton","4/11/24","AD","5002","A74",48,57,40,173,5903.540665,34.12451251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","AD","5002","A75",39,43,40,116,4417.259559,38.07982378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0
"hilton","4/11/24","AD","5002","A76",34,40,20,113,2266.156369,20.05448114,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/11/24","AD","5002","A77",55,57,50,181,7644.142535,42.23283169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/11/24","AD","5002","A78",80,87,41,265,10818.4193,40.82422379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"hilton","4/11/24","AD","5002","A79",32,60,27,174,3697.814569,21.25180787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"hilton","4/11/24","AD","5002","A80",100,164,47,455,21919.23802,48.1741495,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0
"hilton","4/11/24","AD","5002","A81",68,73,55,218,10846.58889,49.75499491,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"hilton","4/11/24","AD","5002","A82",47,58,28,162,4518.2026,27.8901395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"hilton","4/11/24","AD","5002","A83",48,55,33,163,4966.560512,30.4696964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"hilton","4/11/24","AD","5002","A84",34,36,29,113,2807.12169,24.84178487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","AD","5002","A85",68,73,50,222,10058.48637,45.30849718,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
"hilton","4/11/24","AD","5002","A86",20,30,25,82,1685.187335,20.55106506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","AD","5002","A87",47,54,23,150,3767.055266,25.11370178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0
"hilton","4/11/24","AD","5002","A88",40,58,40,159,5446.999988,34.25786156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","AD","5002","A89",49,69,28,179,5260.453035,29.38800578,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0
"hilton","4/11/24","AD","5002","A90",65,109,35,278,10223.11563,36.77379722,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
"hilton","4/11/24","AD","5002","A91",130,140,64,391,27637.62126,70.68445336,0,4,0,21,0,9,0,0,0,0,0,0,0,0,4,43,3,0,0
"hilton","4/11/24","AD","5002","A92",70,84,67,239,14154.45707,59.22366976,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,21,1,0,0
"hilton","4/11/24","AD","5002","A93",72,119,35,305,11659.07566,38.22647759,0,2,0,6,0,1,0,0,0,0,0,0,0,0,1,14,2,0,0
"hilton","4/11/24","AD","5002","A94",74,75,55,198,11590.85466,58.53966999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/11/24","AD","5002","A95",74,145,65,380,21124.54715,55.59091354,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0
"hilton","4/11/24","AD","5002","A96",57,77,33,207,6960.178945,33.62405288,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,2,0,0
"hilton","4/11/24","LM","5002","L59",29,41,33,90,3135.74161,34.84157344,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/11/24","LM","5002","L60",37,48,32,115,3833.725079,33.33673981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"hilton","4/11/24","LM","5002","L61",45,63,33,166,5266.525348,31.72605631,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
"hilton","4/11/24","LM","5002","L62",55,57,43,165,6756.879899,40.95078727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"hilton","4/11/24","LM","5002","L63",39,50,30,148,3853.620511,26.03797643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
